customer_id,region,device_type,tenure_months,site_visits_1m,site_visits_3m,site_visits_6m,days_since_last_visit,orders_1m,orders_3m,orders_6m,avg_order_value,cart_abandonment_rate,returns_6m,delivery_delay_flag,avg_product_rating,support_tickets_30d,offer_sent,early_warning_flag,churn_flag,lifetime_value,ltv_6m
ECOM_0,APAC,Mobile,19,18,55,119,26,2,7,10,25.992849023027816,0.5400903417549409,0,0,3,2,0,0,0,285.4970509154295,51.98569804605563
ECOM_1,EU,Mobile,53,20,58,109,16,3,3,15,294.21828319955597,0.8787596847015959,1,0,4,0,1,0,0,4420.029581628199,882.6548495986679
ECOM_2,EU,Mobile,33,14,53,129,39,0,5,15,84.4781137613134,0.7826330597512046,1,0,4,0,1,0,1,1402.3955667637438,0.0
ECOM_3,NA,Mobile,70,26,52,96,1,5,7,13,76.65151112268299,0.36867725222986225,1,0,5,0,0,0,0,965.1212937837557,383.257555613415
ECOM_4,EU,Desktop,60,20,43,109,6,2,7,15,56.643837627217245,0.706178533334207,1,0,5,1,0,0,0,869.826310564014,113.28767525443449
ECOM_5,NA,Mobile,58,19,48,104,32,5,4,15,121.41577643706945,0.20729653275620907,0,1,4,1,0,0,1,1790.223842570928,364.2473293112084
ECOM_6,NA,Mobile,44,20,57,112,39,2,9,16,47.4321799129698,0.2993706714226717,2,0,3,1,1,0,1,754.135493984331,56.91861589556376
ECOM_7,NA,Desktop,1,22,52,120,22,2,8,13,64.88981151346084,0.6359817989400232,2,0,4,2,0,1,1,934.8539397407488,77.867773816153
ECOM_8,NA,Mobile,8,16,43,82,20,2,11,9,200.7499508692678,0.703532425329151,1,0,5,1,0,0,0,1890.5692249713466,401.4999017385356
ECOM_9,EU,Desktop,10,16,61,98,11,3,5,12,129.60808888068087,0.23640152012739368,0,1,3,0,1,0,1,1555.4051505476898,233.29455998522556
ECOM_10,APAC,Mobile,13,18,66,103,39,4,9,14,123.75848597757539,0.9291837432607705,0,0,4,1,0,0,1,1661.0833981948813,297.02036634618094
ECOM_11,EU,Mobile,45,18,52,132,10,3,4,15,134.5945585745093,0.44416963619953964,0,0,4,3,0,0,0,1938.6578146615554,403.78367572352795
ECOM_12,NA,Mobile,52,17,68,123,24,3,6,14,123.67798872078728,0.18838392967200435,1,1,1,0,1,0,1,1702.9903491054324,222.6203796974171
ECOM_13,EU,Mobile,58,16,52,110,28,4,4,21,27.461122787627332,0.027875147925969235,2,0,5,1,1,0,1,553.6618883504951,65.9066946903056
ECOM_14,APAC,Mobile,54,12,63,91,15,1,9,8,130.55684852740717,0.14333915649729712,2,1,2,1,0,1,1,1069.2879900937285,78.3341091164443
ECOM_15,NA,Mobile,49,19,49,107,24,1,4,13,76.21224780105025,0.58378339358044,1,0,2,1,0,0,1,1078.3430075646527,45.72734868063015
ECOM_16,APAC,Desktop,50,12,57,98,39,6,17,22,110.67474668175423,0.7951750277321409,1,0,5,0,1,0,1,2504.0936525318148,398.4290880543152
ECOM_17,APAC,Mobile,22,16,52,114,3,3,7,16,28.199432147736,0.10275659468491949,0,1,2,1,1,0,0,494.9906200449318,84.598296443208
ECOM_18,APAC,Mobile,42,17,51,101,22,4,3,17,20.33305570130394,0.24200559306420388,0,1,4,1,0,0,1,249.33342357586176,48.799333683129454
ECOM_19,APAC,Desktop,20,18,64,90,1,1,11,13,55.183103422902725,0.4969836615263823,0,0,2,0,0,0,0,776.4861518217009,55.183103422902725
ECOM_20,APAC,Mobile,37,17,54,92,39,3,6,15,196.77977931439318,0.6404025159522627,2,0,2,1,0,0,0,2973.9666629300814,590.3393379431795
ECOM_21,EU,Mobile,47,16,44,103,20,3,6,10,12.211240364061076,0.46428918542345854,2,0,2,2,0,0,1,104.37035460956322,21.980232655309937
ECOM_22,EU,Mobile,14,19,63,127,0,2,7,17,75.49592038081965,0.8888662325725186,2,0,2,2,1,1,1,1160.76281256503,90.59510445698358
