user_id,region,country,device_type,plan_tier,tenure_months,watch_hours_1m,watch_hours_3m,watch_hours_6m,sessions_1m,sessions_3m,sessions_6m,days_since_last_stream,completion_rate_pct,binge_watch_flag,buffering_events_30d,avg_stream_quality,app_rating,monthly_fee,payment_failures_30d,support_tickets_30d,offer_sent,early_warning_flag,churn_flag,lifetime_value,ltv_6m
OTT_0,EU,BR,Mobile,Premium,81,12.15265481192391,50.49341843240654,94.72572513842141,11,42,80,58,61.837238867008175,0,0,2.759987275832112,3,7.99,0,1,0,0,1,621.785454549421,33.558
OTT_1,LATAM,BR,Web,Basic,2,37.571838194209214,70.078936985739,149.92411837471622,13,54,97,45,60.854414310314866,1,1,2.8901213290423344,1,7.99,0,2,0,0,1,14.458743035594157,33.558
OTT_2,NA,US,SmartTV,Standard,74,8.112080100943421,136.85913010832255,17.095471570598246,19,41,78,13,46.779588857098574,1,3,4.457529673617391,4,18.99,0,1,1,0,1,1322.8221964403429,79.758
OTT_3,NA,BR,Mobile,Premium,67,10.49015304330537,78.65281128585566,36.55137461646966,7,37,89,56,53.004371168565854,1,1,3.0436558362232304,3,18.99,0,1,1,0,1,1117.5014382041998,79.758
OTT_4,NA,UK,SmartTV,Premium,13,6.9780159668738495,37.02898444497387,78.28746872372034,12,53,99,19,65.08260180101192,0,1,3.9782907740000044,4,12.99,0,0,1,1,1,168.78075878889396,54.55799999999999
OTT_5,NA,UK,Web,Basic,76,6.123541057830574,59.79504906140177,88.00076202387811,19,41,86,50,54.957848907280514,0,2,3.314485305313863,5,7.99,0,2,0,0,1,631.4024027709728,33.558
OTT_6,NA,UK,Mobile,Standard,13,52.24135294166907,6.411758856339169,71.2676603996155,24,39,94,34,54.57188362087814,1,0,4.075118728617971,3,7.99,0,0,0,0,0,117.47384675138967,47.94
OTT_7,LATAM,US,Mobile,Standard,77,5.077331887567057,64.43568328171892,176.13944442599836,17,41,98,6,83.06712549173263,0,0,4.834837653860578,5,7.99,0,0,0,1,1,630.7893732535933,33.558
OTT_8,NA,IN,Web,Basic,28,10.55304683088729,75.72266341350512,225.29978438064376,19,47,99,50,94.57588997951882,0,4,3.5265626315235443,2,7.99,0,4,0,0,0,225.19480314567227,47.94
OTT_9,APAC,IN,Mobile,Standard,34,40.411147379320845,34.5054948260459,64.09696920494274,20,42,80,15,84.85939392121671,0,2,3.1779332028804372,5,7.99,0,0,0,0,0,300.5926999888932,47.94
OTT_10,LATAM,IN,Web,Basic,15,50.979114178435296,113.8144188068268,103.49338454819262,7,60,91,23,89.27545055991823,1,2,3.9171924765224464,4,7.99,0,0,0,0,1,105.58283977842468,33.558
OTT_11,EU,DE,Web,Basic,64,22.126958058001076,93.5163533000833,104.1837686481058,14,49,82,58,94.21604076580648,1,3,2.849537258864701,4,12.99,0,2,1,0,0,870.6323114324213,77.94
OTT_12,APAC,UK,Mobile,Basic,6,23.783863963840908,118.45801912137597,74.4457582735677,18,42,108,20,67.36086691708347,0,3,4.237954901150985,5,7.99,1,0,0,0,1,46.08893548097098,33.558
OTT_13,NA,IN,SmartTV,Standard,8,16.388385923625837,90.87847833460722,89.57970834782361,16,53,79,54,69.63280567405239,0,5,2.8893626018678984,4,12.99,0,1,1,1,0,102.19080729231192,77.94
OTT_14,APAC,IN,Mobile,Basic,83,7.268915336137204,93.24875076387691,227.48521102317903,14,67,76,15,94.75193898910658,0,2,3.0648782655112536,4,12.99,0,0,0,0,0,1238.133874904983,77.94
OTT_15,LATAM,BR,Mobile,Basic,20,17.13459322018249,53.65137819460356,244.97716479032073,18,37,82,21,94.17991305802593,0,0,3.7715017026895907,5,12.99,0,1,0,0,1,235.3031915846239,54.55799999999999
OTT_16,NA,DE,SmartTV,Basic,32,23.19356465301913,184.3067940884992,70.9379132659468,14,60,95,23,77.94657612178956,1,1,3.7204750161733973,5,7.99,1,2,0,0,0,257.2509295873496,47.94
OTT_17,EU,UK,SmartTV,Premium,44,3.015583351446725,69.96804749163596,120.38346062744496,15,51,78,6,89.31101720893362,0,2,4.280408370767823,5,18.99,0,0,1,0,1,922.2478782388112,79.758
OTT_18,EU,BR,SmartTV,Basic,71,20.14851196926746,55.44115333843905,55.7505707923451,9,58,84,49,59.465523915681885,0,1,4.504976099587478,5,12.99,0,0,0,0,0,865.3902918138341,77.94
OTT_19,EU,US,Web,Standard,81,17.69346728791396,39.26262298414804,155.29224320921125,10,41,83,11,41.737803261645006,0,1,4.554593485677309,4,12.99,0,1,1,0,1,978.483831869411,54.55799999999999
OTT_20,EU,BR,SmartTV,Standard,13,20.48917840698325,23.687707469263383,60.18778911478538,12,39,105,47,88.62662799211716,0,3,4.8042476537462395,4,7.99,0,1,1,1,1,97.23420086399439,33.558
OTT_21,APAC,UK,SmartTV,Basic,9,8.804809275371824,33.87603991609726,146.84328244777038,11,40,88,11,44.052683407355346,0,2,4.2102957810394015,2,18.99,0,2,0,0,1,186.69339817525565,79.758
OTT_22,APAC,BR,SmartTV,Basic,26,30.81959186772922,12.565722192662694,72.17852158732106,11,40,89,31,71.32098907774323,0,0,3.0434892850102546,5,12.99,0,0,0,0,1,366.0586025356816,54.55799999999999
