user_id,geo_region,country,language_preference,plan_tier,billing_cycle,profile_count,hours_streamed_30d,hours_streamed_90d,binge_watch_flag,completion_rate_pct,buffering_events_30d,video_quality_rating,days_since_last_stream,payment_failures_30d,support_contacts_30d,app_store_rating,early_warning_flag,offer_sent,churn_flag,ltv_6m
OTT_0,LATAM,DE,Hindi,Premium,Monthly,1,5.769550855120741,110.68335896652201,1,44.018005000231895,2,1,48,0,2,4,0,0,0,159.08061543545568
OTT_1,North America,DE,German,Basic,Monthly,2,13.127992531142702,96.00576409192257,0,74.41601621106923,1,3,3,0,1,4,0,0,0,30.239971466322025
OTT_2,Europe,UK,German,Basic,Monthly,1,26.403817777819874,24.03546028666158,0,86.68761002541848,3,1,23,0,2,4,0,1,0,58.876902519874804
OTT_3,South Asia,DE,German,Basic,Monthly,3,17.301146718044492,46.11061582886576,0,56.382405153298265,0,2,16,1,0,3,0,0,0,31.789864320562216
OTT_4,LATAM,IN,Spanish,Premium,Monthly,4,16.430444185397548,82.39163455915008,0,52.99048088615355,2,1,3,0,2,5,0,0,0,153.3757885584597
OTT_5,LATAM,US,English,Basic,Annual,2,97.39514996906985,80.01498208340591,0,79.20336821818893,1,3,19,0,1,2,0,0,1,15.845590080716304
OTT_6,LATAM,UK,Spanish,Basic,Monthly,5,28.93001468474734,153.34671333220007,1,71.60623764779328,1,2,35,0,0,1,1,1,1,-5.569165013651961
OTT_7,LATAM,BR,Hindi,Premium,Monthly,4,19.471562881409312,42.11635607456394,0,56.43445103228086,2,3,25,1,1,4,0,1,1,147.23561313720526
OTT_8,North America,UK,German,Standard,Monthly,1,29.99409516140098,44.904356813344734,1,57.42811088069054,2,3,54,1,1,4,0,0,1,75.44985637410426
OTT_9,Europe,US,English,Basic,Monthly,2,55.205597930272965,48.11088507232916,0,79.60273675664638,4,4,44,0,1,1,1,0,1,3.104397833483196
OTT_10,South Asia,IN,Spanish,Standard,Monthly,2,19.507899509797266,70.42104539827118,1,67.07996353623294,3,1,32,0,0,1,0,0,1,59.34350206229121
OTT_11,LATAM,IN,Spanish,Standard,Monthly,3,25.671083789145325,63.218134723086955,1,90.11328199278364,2,5,37,0,2,3,0,0,1,160.45699114297454
OTT_12,North America,UK,English,Basic,Annual,3,24.46965264258221,32.27233168921269,0,45.56646286811006,1,2,4,1,3,5,0,0,1,-20.495149106113438
OTT_13,Europe,IN,Spanish,Basic,Monthly,5,13.270807472185957,49.60973406994947,0,44.100369284602905,1,3,38,0,4,4,1,0,0,50.29282445931274
OTT_14,South Asia,UK,English,Standard,Annual,4,34.13439860718303,63.19354307287429,0,80.78103031929436,1,3,58,0,2,5,1,0,1,-3.895557492375076
OTT_15,South Asia,DE,English,Basic,Annual,3,17.72670351031618,102.621176141378,0,91.79817932041557,1,3,56,1,0,5,1,1,1,-24.520932266117683
OTT_16,South Asia,UK,Spanish,Standard,Annual,2,7.181216651069508,157.4509778202326,0,80.70641956208424,1,2,24,0,2,4,0,0,0,119.22288073692913
OTT_17,North America,IN,English,Premium,Monthly,1,25.852541657269324,58.371235381718684,0,45.33406293912935,2,1,58,0,2,5,0,0,1,125.41829060359174
OTT_18,LATAM,DE,German,Standard,Monthly,5,38.39392853112702,162.67147744394217,0,77.53151325534051,3,2,33,0,0,4,0,0,1,102.17996915553572
OTT_19,South Asia,US,Spanish,Premium,Monthly,4,11.19694564264693,25.796530204139604,1,64.17389488937307,2,5,28,0,3,5,0,1,1,137.4139921434351
OTT_20,North America,BR,German,Basic,Monthly,2,22.50304987979299,37.310855723780065,1,63.74078888652588,4,2,45,2,3,3,0,1,1,9.781738734757074
