customer_id,region_type,network_type,plan_type,tenure_months,data_gb_1m,data_gb_3m,data_gb_6m,call_minutes_1m,call_minutes_3m,call_minutes_6m,calls_per_day_avg,sms_count_1m,sms_count_3m,sms_count_6m,avg_call_drop_rate,last_network_issue_days_ago,csat_score,monthly_revenue,bill_shock_flag,payment_failures_30d,support_calls_30d,offer_sent,early_warning_flag,churn_flag,lifetime_value,ltv_6m
TEL_0,Suburban,4G,Postpaid,34,12.718252373355117,41.86570229830361,102.43339071722622,164.96662180634567,497.6651873608424,1271.6889933298473,2.9764603620713013,42,141,314,1.0148888667151434,0,4,30,0,0,2,0,0,1,1158.0283796943017,117.0
TEL_1,Rural,4G,Postpaid,24,8.849048889788651,31.503447464057977,144.1284614571569,174.4540693721752,378.8025835043597,1636.401372423382,1.503998030010775,42,159,310,1.1845246954886197,21,5,30,0,1,0,0,0,0,611.0593993512476,180.0
TEL_2,Urban,4G,Prepaid,5,3.6049947225388594,19.650077575937143,121.29714831597983,280.87444455967227,950.833205526785,3124.999427634545,9.90422498919859,43,124,299,4.066621394687165,26,3,30,0,0,2,0,1,0,141.21213129727911,180.0
TEL_3,Suburban,4G,Postpaid,36,25.00006312059984,37.63942673659916,64.09123895000955,206.2504278592445,334.32241973310073,1085.9283398258171,1.8009075935642684,41,141,264,3.6383297292471264,0,1,45,0,0,0,0,0,0,1928.4708789313397,270.0
TEL_4,Rural,4G,Prepaid,20,18.661519506617665,14.252483238524071,32.210371818965314,182.738454609262,382.76413655389416,2121.223379419432,10.311170376610118,44,134,274,4.034109607250574,10,5,30,0,0,1,0,0,1,535.956068952576,117.0
TEL_5,Suburban,5G,Postpaid,63,12.501310577038204,28.987172373344926,79.09857873555228,170.4321149859772,807.213392370146,2650.2618536107475,7.901639414044521,39,155,281,3.2577250459110507,12,2,30,0,0,2,0,0,1,1645.6056691891706,117.0
TEL_6,Suburban,4G,Postpaid,106,4.8465249120852505,39.97923953044449,85.65818904030438,62.413209410889756,433.0740363076859,689.4766620852083,5.103544611653477,38,129,282,2.130302473650705,54,4,45,0,1,1,1,0,0,3980.7346691774296,270.0
TEL_7,Rural,4G,Postpaid,68,16.66212555086254,48.72988984151836,93.40792915847396,198.08014124192826,1350.3462482918478,536.6395174858783,11.305303156213741,42,162,305,1.0949968105024865,38,4,45,0,0,1,1,1,0,2962.319023217275,270.0
TEL_8,Rural,4G,Prepaid,90,3.2458960010362157,25.545897435026973,59.626536837982435,253.61733819962944,865.2969457645158,985.7260096752203,6.320173481349876,48,129,287,2.884549572737006,6,3,45,0,0,0,0,0,0,4164.487120716281,270.0
TEL_9,Urban,5G,Prepaid,115,6.315043251105785,14.611080974412417,124.6711163531794,102.76828540352518,706.047490832762,593.8093418844722,4.845212239351456,55,162,272,1.0169885210966512,3,1,30,0,0,2,0,0,0,3353.2809781096844,180.0
TEL_10,Rural,4G,Prepaid,93,24.219294797111914,73.36304158279765,145.33999754463397,87.54473704983107,312.1196580809916,2851.928497127261,4.978968496461124,35,128,275,2.123068228575752,28,2,45,0,1,3,0,0,1,4985.495411658997,175.5
TEL_11,Urban,4G,Prepaid,57,9.280834170794822,7.578621496122114,88.0721497375482,184.88863008575902,744.3201331620552,1820.8018428644534,7.829821898879145,45,134,281,3.4864019620037463,46,5,30,0,0,1,1,0,1,1662.7204419903092,117.0
TEL_12,Urban,5G,Prepaid,69,33.67722851852407,60.96381301058618,137.6896177055141,95.45274185752987,317.09384574015064,2887.220852768092,1.9253796710471869,41,129,254,0.10117463461977616,31,2,30,0,1,1,0,0,1,1781.8576025165905,117.0
TEL_13,Urban,4G,Postpaid,74,20.257625755854054,10.381133302030646,85.9333838010128,209.03780692066394,390.65339428650856,1741.1166063297785,4.582743138929911,50,158,288,4.491803710550308,12,3,30,0,0,0,0,0,0,2323.219836707772,180.0
TEL_14,Rural,5G,Prepaid,56,11.141510719372235,14.096174506343129,111.57027198564292,15.957210575397154,421.37241247837557,1265.2235040870198,0.5113250684095207,49,147,259,1.7416940801273784,47,1,45,0,0,0,0,1,1,2540.8471635244287,175.5
TEL_15,Urban,4G,Prepaid,40,23.929073717365217,60.95773599859372,105.22585732166384,290.04078931768004,811.7626155399408,950.8330634195426,7.122287464477347,53,112,297,2.10713880756031,31,4,30,1,0,0,0,0,1,1267.8120705381239,117.0
TEL_16,Rural,5G,Postpaid,101,22.895627804129163,72.20350608707218,43.09634822299972,81.79920717538873,665.8764310799093,857.9653300278497,10.948819464081506,40,160,266,1.8929773046509517,24,4,45,0,1,0,0,0,1,4807.517899972918,175.5
TEL_17,Suburban,5G,Prepaid,54,18.70930981374404,31.461701925905746,72.13055068614696,123.07644089426435,731.4450220505099,1600.4343944296072,3.389857010348538,27,141,268,3.181501079153919,26,1,45,1,1,1,0,0,1,2623.2185047479156,175.5
TEL_18,Rural,4G,Prepaid,78,18.920345577035814,31.986316096336537,81.5554513299022,231.67269355169267,78.54162665432364,1219.327211273084,5.447573048591944,45,124,283,4.016822949771059,50,2,45,0,1,0,0,0,1,3577.5308983098766,175.5
TEL_19,Suburban,5G,Postpaid,71,11.752973308850741,11.623846118158827,90.437291687937,231.9611359022014,593.8441673280109,996.517647933137,10.042526264668954,40,143,296,1.7611203562575573,5,1,30,0,0,0,0,1,1,2338.3280260428646,117.0
TEL_20,Suburban,4G,Postpaid,117,19.4546746288435,102.25505090281328,135.60984733580295,176.20042149809922,583.1585504373626,1524.9066130719857,3.292995290714394,53,178,287,3.8714988385977196,59,3,45,0,0,1,1,0,1,4956.977245538931,175.5
TEL_21,Rural,4G,Postpaid,68,11.517052648389791,38.932332532495,20.17622566438567,101.35657098361727,689.1565983930495,1406.8800872974887,11.842788537831458,43,135,300,0.5262384615998189,51,4,30,1,0,2,1,0,0,2080.814126634057,180.0
TEL_22,Suburban,5G,Prepaid,43,24.533904962558587,27.171016614540697,119.46395126429385,171.6254968519189,1223.1143019983929,1613.5319142056007,5.2560146626345885,38,137,277,2.6053862897308355,33,5,45,0,0,0,0,0,1,2262.9096735090366,175.5
TEL_23,Rural,4G,Prepaid,100,18.072564903741327,64.5641824151391,187.63695133175423,104.18456502921349,209.7792228892854,1838.3802265255545,1.8728632294170469,53,146,257,4.314054664042225,36,4,30,0,1,0,0,1,0,3216.621575686087,180.0
TEL_24,Urban,5G,Postpaid,106,22.527020808375816,48.09910471609824,71.75213284035725,147.29328762446218,467.19653988538886,1332.4402018699889,7.805927607314557,42,147,269,0.23880618405444365,39,5,30,0,1,0,0,0,0,3337.6680479364904,180.0
TEL_25,Suburban,4G,Postpaid,37,8.996522346240187,24.349852882565756,29.22129111689095,302.8498736245957,808.7083987244899,954.1016054868048,9.876485775892967,49,148,289,3.548468328530941,1,4,30,1,0,0,1,0,0,1072.7900895661332,180.0
TEL_26,Suburban,4G,Prepaid,116,6.894383249340123,12.215958312270004,41.3978024448375,100.51860124789968,333.7206080531625,1312.2550358864296,6.335858621013222,53,148,255,2.1406372740898845,32,4,30,1,0,1,0,0,0,2847.0026457528415,180.0
TEL_27,Suburban,4G,Postpaid,65,15.40671591234192,79.58704859317865,103.02524850560147,265.69096651473313,199.48764915892914,1050.1718182369386,7.379127743111454,46,168,289,2.962718288110047,41,5,30,0,0,0,0,1,0,1707.6160585688247,180.0
TEL_28,Urban,4G,Prepaid,80,15.068997337786225,12.364650869373452,93.51995919185262,79.17876297782045,519.654000128097,851.7882344799302,3.15797331915923,31,158,294,0.542973662744814,42,4,45,1,0,0,0,0,1,4192.357030501627,175.5
TEL_29,Suburban,4G,Postpaid,62,19.377970121874036,65.36685913363561,35.679873081617814,51.0957016336835,671.964827212936,1749.5447243717483,6.785935938269339,48,134,304,0.021399441162669453,31,1,30,0,0,1,1,0,1,1721.8992983190203,117.0
TEL_30,Urban,5G,Postpaid,94,12.585375683332236,64.65220155030073,136.01845924054558,65.54048774229125,400.9338066818746,1067.5121356426487,4.906926847187202,47,145,288,3.508537146637338,0,5,45,0,0,1,0,0,1,4485.208307601034,175.5
TEL_31,Rural,4G,Prepaid,63,21.895764684931805,82.91391289880167,77.87424548841314,207.43713023283294,210.55545543592743,1550.3929476429298,7.1880445008841525,45,112,283,3.693561921267598,56,1,30,0,0,1,0,0,0,1897.4225033792286,180.0
TEL_32,Urban,4G,Postpaid,111,6.360123639949029,31.768891540756094,87.14367147248726,72.79585029252291,654.6727750176677,890.2799867641047,7.414199976336382,40,152,265,1.3901631726831964,49,4,30,0,1,1,0,0,1,3892.8955979755087,117.0
TEL_33,Rural,5G,Prepaid,112,17.695210226609476,18.6485351885849,56.978610451976024,281.43433457730475,141.0925037903759,1419.452282521966,11.793625602731984,35,140,285,3.7456362470777522,20,4,30,0,0,1,1,0,1,2813.595733481574,117.0
TEL_34,Urban,4G,Postpaid,103,5.400147875484491,45.59056267615445,45.45341864450265,259.1407715507674,658.4129940392801,1979.4844951892896,2.34408608162869,51,164,283,4.604480512506704,0,3,45,0,0,1,1,0,0,4691.782379038564,270.0
TEL_35,Rural,5G,Prepaid,72,15.625995997048605,28.158772508257073,73.45719109683469,331.3129911609893,342.19502415833944,926.073234061988,4.962666596500211,44,152,249,0.6466466782591562,42,1,45,0,0,1,0,0,0,3572.286481306086,270.0
TEL_36,Urban,4G,Postpaid,24,12.155515482644335,20.36269770136883,63.59386432401383,152.4425792512525,248.80743350343596,297.55912498880326,2.7782823898747075,38,127,274,1.6574694159700343,20,4,45,0,0,0,0,1,1,1181.3041961526437,175.5
TEL_37,Urban,4G,Postpaid,115,32.31849382500557,13.315193303130982,38.01424020968578,159.60137931430202,255.15675579611238,1331.191710501585,1.1636792003552276,37,124,306,4.314898778561566,47,5,45,1,0,0,0,0,0,6068.876182079725,270.0
TEL_38,Suburban,4G,Prepaid,64,10.768478499611618,23.323647994264398,144.46357439342557,142.37638540269091,401.5982157315279,1104.7705712036905,4.530850528843106,50,139,286,1.7298350440774195,16,4,30,0,0,0,0,0,1,1563.4158421170928,117.0
TEL_39,Suburban,4G,Postpaid,24,17.741153516419025,37.850091915286065,214.42984308408364,175.66900762088764,353.26780537486303,1341.4579170780448,1.0377984168274557,38,161,300,3.0518036776712587,38,5,30,1,0,1,0,1,0,845.5520076050818,180.0
TEL_40,Suburban,5G,Postpaid,53,15.842733980998744,49.37895941649481,90.70943393081338,212.2458813213436,867.3699061205166,2459.321420431521,1.1992727859561774,45,136,299,3.883119233629234,3,5,30,0,0,1,0,0,1,1703.7717921026772,117.0
TEL_41,Urban,4G,Prepaid,21,9.11381638085432,58.49909807367909,96.0524656508864,286.3240947109638,313.02447734269816,697.4604137327431,3.9023270449909955,42,150,292,0.875886291622936,29,1,45,0,0,1,0,1,1,855.3637806227446,175.5
TEL_42,Suburban,4G,Postpaid,66,14.801475090772126,74.74851801577948,97.59264953550256,95.59558983590843,2127.5677515264492,764.7256861765807,1.3143630909243158,39,151,291,3.820049301768834,50,1,45,0,0,2,0,1,0,2517.16722839386,270.0
TEL_43,Urban,5G,Postpaid,20,9.284346343135152,33.16937803016347,110.65126801921714,11.105398237968332,869.3885616918319,436.5225197114225,9.60883075396146,35,136,297,2.5741666046392906,4,4,45,0,0,2,1,1,1,779.322514581682,175.5
TEL_44,Rural,5G,Prepaid,31,6.78605113281259,50.252940095657344,89.30382128729926,86.94957804659443,431.7105961510271,881.2347974264509,5.617701491297857,28,127,280,1.3262848423518543,25,5,30,0,0,1,1,0,1,805.6997691845512,117.0
TEL_45,Urban,4G,Prepaid,17,13.840459869292918,17.07031150770114,50.03276069024341,145.77549037972463,607.3529987230767,704.4272857909411,2.293829573155756,52,134,281,0.033067981021949744,17,4,45,0,0,4,1,0,0,622.9115354168264,270.0
TEL_46,Rural,4G,Postpaid,62,7.525674589696046,47.5854486383983,37.1059532552162,406.77089443791533,274.3871304089896,1690.9488394898067,11.727713193983615,56,146,285,4.0080606753059005,11,4,45,0,0,2,0,1,1,2593.0851694669923,175.5
TEL_47,Urban,4G,Postpaid,10,41.0315326813224,37.06913667101669,41.3499104354368,139.7593834611483,1413.3877401234415,908.1383745501892,6.1579783952602085,51,145,274,3.21762959916915,6,3,45,0,1,1,1,0,0,398.64333495948273,270.0
TEL_48,Urban,4G,Prepaid,86,15.586611700130288,41.03460680050387,97.9747170833607,201.85255718601184,507.9526080957317,542.6913502772842,8.074491844234807,48,136,271,1.0804931862005556,22,4,30,0,0,0,0,0,1,2704.044640836751,117.0
TEL_49,Suburban,5G,Prepaid,18,2.7669828164539907,42.69284542488189,63.95103400244007,106.87309098264217,256.57929486107787,1126.3042299326094,0.9541409277617445,41,138,259,2.994040102671707,8,1,30,0,0,3,1,0,1,625.8718962986736,117.0
TEL_50,Suburban,4G,Postpaid,80,4.277563570922957,18.361612563335097,64.17507300298888,153.84291044006534,1032.6902921690703,985.7492637650973,9.700381121185975,40,143,259,2.9879569702382476,33,5,45,0,1,1,1,0,1,3743.479202176757,175.5
TEL_51,Rural,4G,Prepaid,94,14.767962550061785,11.897018032062894,197.11625792455212,66.04911448009346,980.1204763832053,1681.6355032030979,9.366465483235153,49,128,288,0.3439445129813623,40,3,30,0,0,1,1,0,0,2418.1272018009845,180.0
TEL_52,Rural,5G,Prepaid,113,13.265138051462252,34.89684720290186,130.0492348646266,211.2797405588937,779.4050143111011,780.1756630328557,7.236042038255256,47,160,289,1.964075707786439,42,1,30,0,0,1,0,0,0,2784.4171231401883,180.0
TEL_53,Rural,5G,Postpaid,71,5.877118622591471,46.89173734144217,114.03345185337514,190.95519149229875,716.2033392990421,2178.740017488266,3.315059419453423,36,153,292,0.8038461478484205,16,4,30,1,0,1,0,0,1,2237.6761779260464,117.0
TEL_54,Rural,5G,Postpaid,11,26.078292645823424,34.790734161255116,134.1104312718379,436.6682066754576,359.5742583047951,1740.074889619559,10.808978460647907,50,161,296,4.696181389021472,54,4,30,0,0,3,0,0,1,344.32724161887427,117.0
TEL_55,Rural,4G,Postpaid,73,35.62682353327762,50.80350866017504,136.9886879077398,213.8906957462877,458.5344640190365,516.6113056701505,6.688474165691023,47,135,269,1.330621514581431,58,1,30,0,0,1,0,0,1,2344.113208500643,117.0
TEL_56,Suburban,5G,Postpaid,113,5.986264448534085,11.838816809660553,51.55648748566359,429.22045697609946,275.0803553477338,1895.2691732995881,3.459240112688355,48,126,276,2.3085984120082643,28,5,30,0,0,1,1,1,1,3456.650593184083,117.0
TEL_57,Suburban,4G,Postpaid,24,7.508799038919497,37.36805114548733,64.6224141183176,215.53243277400662,658.3426175453402,1758.497149399812,3.661913253815027,47,140,293,2.238104045619605,1,3,45,1,0,3,0,0,0,1193.1942911093747,270.0
TEL_58,Urban,4G,Postpaid,105,8.359926162891014,54.3522852423546,67.01172711750363,57.01709826964934,601.1606939802333,727.3740292593338,4.357408599527535,37,150,280,4.679948310554796,25,5,30,0,0,1,1,0,1,2880.584056418164,117.0
TEL_59,Rural,4G,Postpaid,78,12.174405629845984,35.954158396084246,113.13108401529652,111.91929702136652,1284.174147608524,1689.3848050762704,2.958443813334657,52,130,257,4.884154591767502,45,3,45,0,0,1,0,0,0,3417.6809502233177,270.0
TEL_60,Urban,4G,Postpaid,27,5.225613172182832,57.00780327495406,65.16437146485481,183.38048655306224,203.00064357613175,616.6878975329391,7.447572227777595,38,161,272,3.179240737061573,32,4,45,0,0,0,0,0,1,1002.8162306510072,175.5
TEL_61,Rural,5G,Postpaid,41,17.16886087172121,27.60129302699106,50.81151317792779,83.08244468052486,640.4104288011686,762.1471124758593,11.929684714518475,43,152,299,4.342891318484719,4,2,45,0,0,1,1,0,1,2022.6177124875076,175.5
